[0][0]: 1.250000, 3FA00000
[0][1]: 2.250000, 40100000
[0][2]: 3.250000, 40500000
[0][3]: 4.250000, 40880000
[0][4]: 5.250000, 40A80000
[0][5]: 6.250000, 40C80000
[0][6]: 7.250000, 40E80000
[0][7]: 8.250000, 41040000
[0][8]: 9.250000, 41140000
[0][9]: 10.250000, 41240000
[0][10]: 11.250000, 41340000
[0][11]: 12.250000, 41440000
[0][12]: 13.250000, 41540000
[0][13]: 14.250000, 41640000
[0][14]: 15.250000, 41740000
[0][15]: 16.250000, 41820000
[0][16]: 17.250000, 418A0000
[0][17]: 18.250000, 41920000
[0][18]: 19.250000, 419A0000
[0][19]: 20.250000, 41A20000
[0][20]: 21.250000, 41AA0000
[0][21]: 22.250000, 41B20000
[0][22]: 23.250000, 41BA0000
[0][23]: 24.250000, 41C20000
[0][24]: 25.250000, 41CA0000
[0][25]: 26.250000, 41D20000
[0][26]: 27.250000, 41DA0000
[0][27]: 28.250000, 41E20000
[0][28]: 29.250000, 41EA0000
[0][29]: 30.250000, 41F20000
[0][30]: 31.250000, 41FA0000
[0][31]: 32.250000, 42010000
[1][0]: 2.250000, 40100000
[1][1]: 3.250000, 40500000
[1][2]: 4.250000, 40880000
[1][3]: 5.250000, 40A80000
[1][4]: 6.250000, 40C80000
[1][5]: 7.250000, 40E80000
[1][6]: 8.250000, 41040000
[1][7]: 9.250000, 41140000
[1][8]: 10.250000, 41240000
[1][9]: 11.250000, 41340000
[1][10]: 12.250000, 41440000
[1][11]: 13.250000, 41540000
[1][12]: 14.250000, 41640000
[1][13]: 15.250000, 41740000
[1][14]: 16.250000, 41820000
[1][15]: 17.250000, 418A0000
[1][16]: 18.250000, 41920000
[1][17]: 19.250000, 419A0000
[1][18]: 20.250000, 41A20000
[1][19]: 21.250000, 41AA0000
[1][20]: 22.250000, 41B20000
[1][21]: 23.250000, 41BA0000
[1][22]: 24.250000, 41C20000
[1][23]: 25.250000, 41CA0000
[1][24]: 26.250000, 41D20000
[1][25]: 27.250000, 41DA0000
[1][26]: 28.250000, 41E20000
[1][27]: 29.250000, 41EA0000
[1][28]: 30.250000, 41F20000
[1][29]: 31.250000, 41FA0000
[1][30]: 32.250000, 42010000
[1][31]: 33.250000, 42050000
[2][0]: 3.250000, 40500000
[2][1]: 4.250000, 40880000
[2][2]: 5.250000, 40A80000
[2][3]: 6.250000, 40C80000
[2][4]: 7.250000, 40E80000
[2][5]: 8.250000, 41040000
[2][6]: 9.250000, 41140000
[2][7]: 10.250000, 41240000
[2][8]: 11.250000, 41340000
[2][9]: 12.250000, 41440000
[2][10]: 13.250000, 41540000
[2][11]: 14.250000, 41640000
[2][12]: 15.250000, 41740000
[2][13]: 16.250000, 41820000
[2][14]: 17.250000, 418A0000
[2][15]: 18.250000, 41920000
[2][16]: 19.250000, 419A0000
[2][17]: 20.250000, 41A20000
[2][18]: 21.250000, 41AA0000
[2][19]: 22.250000, 41B20000
[2][20]: 23.250000, 41BA0000
[2][21]: 24.250000, 41C20000
[2][22]: 25.250000, 41CA0000
[2][23]: 26.250000, 41D20000
[2][24]: 27.250000, 41DA0000
[2][25]: 28.250000, 41E20000
[2][26]: 29.250000, 41EA0000
[2][27]: 30.250000, 41F20000
[2][28]: 31.250000, 41FA0000
[2][29]: 32.250000, 42010000
[2][30]: 33.250000, 42050000
[2][31]: 34.250000, 42090000
[3][0]: 4.250000, 40880000
[3][1]: 5.250000, 40A80000
[3][2]: 6.250000, 40C80000
[3][3]: 7.250000, 40E80000
[3][4]: 8.250000, 41040000
[3][5]: 9.250000, 41140000
[3][6]: 10.250000, 41240000
[3][7]: 11.250000, 41340000
[3][8]: 12.250000, 41440000
[3][9]: 13.250000, 41540000
[3][10]: 14.250000, 41640000
[3][11]: 15.250000, 41740000
[3][12]: 16.250000, 41820000
[3][13]: 17.250000, 418A0000
[3][14]: 18.250000, 41920000
[3][15]: 19.250000, 419A0000
[3][16]: 20.250000, 41A20000
[3][17]: 21.250000, 41AA0000
[3][18]: 22.250000, 41B20000
[3][19]: 23.250000, 41BA0000
[3][20]: 24.250000, 41C20000
[3][21]: 25.250000, 41CA0000
[3][22]: 26.250000, 41D20000
[3][23]: 27.250000, 41DA0000
[3][24]: 28.250000, 41E20000
[3][25]: 29.250000, 41EA0000
[3][26]: 30.250000, 41F20000
[3][27]: 31.250000, 41FA0000
[3][28]: 32.250000, 42010000
[3][29]: 33.250000, 42050000
[3][30]: 34.250000, 42090000
[3][31]: 35.250000, 420D0000
[4][0]: 5.250000, 40A80000
[4][1]: 6.250000, 40C80000
[4][2]: 7.250000, 40E80000
[4][3]: 8.250000, 41040000
[4][4]: 9.250000, 41140000
[4][5]: 10.250000, 41240000
[4][6]: 11.250000, 41340000
[4][7]: 12.250000, 41440000
[4][8]: 13.250000, 41540000
[4][9]: 14.250000, 41640000
[4][10]: 15.250000, 41740000
[4][11]: 16.250000, 41820000
[4][12]: 17.250000, 418A0000
[4][13]: 18.250000, 41920000
[4][14]: 19.250000, 419A0000
[4][15]: 20.250000, 41A20000
[4][16]: 21.250000, 41AA0000
[4][17]: 22.250000, 41B20000
[4][18]: 23.250000, 41BA0000
[4][19]: 24.250000, 41C20000
[4][20]: 25.250000, 41CA0000
[4][21]: 26.250000, 41D20000
[4][22]: 27.250000, 41DA0000
[4][23]: 28.250000, 41E20000
[4][24]: 29.250000, 41EA0000
[4][25]: 30.250000, 41F20000
[4][26]: 31.250000, 41FA0000
[4][27]: 32.250000, 42010000
[4][28]: 33.250000, 42050000
[4][29]: 34.250000, 42090000
[4][30]: 35.250000, 420D0000
[4][31]: 36.250000, 42110000
[5][0]: 6.250000, 40C80000
[5][1]: 7.250000, 40E80000
[5][2]: 8.250000, 41040000
[5][3]: 9.250000, 41140000
[5][4]: 10.250000, 41240000
[5][5]: 11.250000, 41340000
[5][6]: 12.250000, 41440000
[5][7]: 13.250000, 41540000
[5][8]: 14.250000, 41640000
[5][9]: 15.250000, 41740000
[5][10]: 16.250000, 41820000
[5][11]: 17.250000, 418A0000
[5][12]: 18.250000, 41920000
[5][13]: 19.250000, 419A0000
[5][14]: 20.250000, 41A20000
[5][15]: 21.250000, 41AA0000
[5][16]: 22.250000, 41B20000
[5][17]: 23.250000, 41BA0000
[5][18]: 24.250000, 41C20000
[5][19]: 25.250000, 41CA0000
[5][20]: 26.250000, 41D20000
[5][21]: 27.250000, 41DA0000
[5][22]: 28.250000, 41E20000
[5][23]: 29.250000, 41EA0000
[5][24]: 30.250000, 41F20000
[5][25]: 31.250000, 41FA0000
[5][26]: 32.250000, 42010000
[5][27]: 33.250000, 42050000
[5][28]: 34.250000, 42090000
[5][29]: 35.250000, 420D0000
[5][30]: 36.250000, 42110000
[5][31]: 37.250000, 42150000
[6][0]: 7.250000, 40E80000
[6][1]: 8.250000, 41040000
[6][2]: 9.250000, 41140000
[6][3]: 10.250000, 41240000
[6][4]: 11.250000, 41340000
[6][5]: 12.250000, 41440000
